epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,277.427,1.20581,0.77215,0.84255,0.98466,0.86994,0.97657,0.5957,1.40277,1.29405,0.8483,0.000487162,0.000487162,0.000487162
43,283.906,1.14136,0.76301,0.85765,0.98197,0.88557,0.97851,0.56885,1.47936,1.20019,0.85162,0.000490728,0.000490728,0.000490728
44,291.337,1.21641,0.75962,0.8496,0.98197,0.88557,0.97851,0.56885,1.47936,1.20019,0.85162,0.000493898,0.000493898,0.000493898
45,304.624,1.27212,0.77021,0.84431,0.98084,0.8916,0.97942,0.58588,1.44855,1.12062,0.84755,0.000496672,0.000496672,0.000496672
46,319.84,1.42408,0.78382,0.85988,0.98084,0.8916,0.97942,0.58588,1.44855,1.12062,0.84755,0.00049905,0.00049905,0.00049905
47,329.595,1.541,0.87277,0.85188,0.97929,0.89712,0.98222,0.63856,1.31017,1.0688,0.83626,0.000501032,0.000501032,0.000501032
48,345.591,1.56605,0.89868,0.85408,0.97929,0.89712,0.98222,0.63856,1.31017,1.0688,0.83626,0.000502618,0.000502618,0.000502618
49,356.742,1.10632,0.76199,0.85341,0.98132,0.88889,0.98496,0.6622,1.24106,1.07151,0.83095,0.000503808,0.000503808,0.000503808
50,365.387,1.24691,0.76916,0.83844,0.98132,0.88889,0.98496,0.6622,1.24106,1.07151,0.83095,0.000504602,0.000504602,0.000504602
51,375.334,1.46815,0.88731,0.83459,0.98411,0.8794,0.98084,0.64707,1.2679,1.10414,0.83198,0.000505,0.000505,0.000505
52,385.118,1.29544,0.74861,0.81909,0.98411,0.8794,0.98084,0.64707,1.2679,1.10414,0.83198,0.000505002,0.000505002,0.000505002
53,395.393,1.26701,0.74979,0.83163,0.98411,0.8794,0.98084,0.64707,1.2679,1.10414,0.83198,0.000504608,0.000504608,0.000504608
54,406.124,1.27567,0.76424,0.83876,0.9855,0.87805,0.98027,0.65265,1.24399,1.0925,0.83,0.000503818,0.000503818,0.000503818
55,416.2,1.7303,0.89805,0.84487,0.9855,0.87805,0.98027,0.65265,1.24399,1.0925,0.83,0.000502632,0.000502632,0.000502632
56,428.314,1.87306,0.99732,0.86236,0.9855,0.87805,0.98027,0.65265,1.24399,1.0925,0.83,0.00050105,0.00050105,0.00050105
57,437.005,1.70182,0.90115,0.86538,0.98932,0.87871,0.97848,0.64456,1.25634,1.08452,0.82806,0.000499072,0.000499072,0.000499072
58,445.903,1.3614,0.76323,0.8424,0.98932,0.87871,0.97848,0.64456,1.25634,1.08452,0.82806,0.000496698,0.000496698,0.000496698
59,453.252,1.30118,0.7486,0.84513,0.98932,0.87871,0.97848,0.64456,1.25634,1.08452,0.82806,0.000493928,0.000493928,0.000493928
60,460.921,1.24611,0.7209,0.83646,0.98801,0.8929,0.97685,0.6597,1.21785,1.06775,0.82511,0.000490762,0.000490762,0.000490762
61,469.55,1.42361,0.78683,0.85547,0.98801,0.8929,0.97685,0.6597,1.21785,1.06775,0.82511,0.0004872,0.0004872,0.0004872
62,479.771,1.27706,0.74515,0.84661,0.98801,0.8929,0.97685,0.6597,1.21785,1.06775,0.82511,0.000483242,0.000483242,0.000483242
63,487.961,1.14647,0.82275,0.8633,0.98662,0.89943,0.97716,0.66948,1.19525,1.02819,0.82491,0.000478888,0.000478888,0.000478888
64,497.511,1.57596,0.83281,0.86376,0.98662,0.89943,0.97716,0.66948,1.19525,1.02819,0.82491,0.000474138,0.000474138,0.000474138
65,505.869,1.57327,0.79129,0.84858,0.98662,0.89943,0.97716,0.66948,1.19525,1.02819,0.82491,0.000468992,0.000468992,0.000468992
66,514.466,1.28414,0.70126,0.83992,0.98864,0.8916,0.97591,0.67861,1.17332,1.03116,0.82669,0.00046345,0.00046345,0.00046345
67,522.532,1.61503,0.80726,0.85211,0.98864,0.8916,0.97591,0.67861,1.17332,1.03116,0.82669,0.000457512,0.000457512,0.000457512
68,531.055,1.36881,0.73459,0.85248,0.98864,0.8916,0.97591,0.67861,1.17332,1.03116,0.82669,0.000451178,0.000451178,0.000451178
69,538.465,1.1233,0.71319,0.84389,0.98655,0.89463,0.9767,0.67481,1.15744,1.02383,0.82285,0.000444448,0.000444448,0.000444448
70,546.228,1.21804,0.7635,0.81325,0.98655,0.89463,0.9767,0.67481,1.15744,1.02383,0.82285,0.000437322,0.000437322,0.000437322
71,555.084,1.28829,0.76722,0.84755,0.98655,0.89463,0.9767,0.67481,1.15744,1.02383,0.82285,0.0004298,0.0004298,0.0004298
72,564.254,1.38396,0.76665,0.83497,0.97227,0.90264,0.9765,0.65097,1.20258,1.01231,0.8245,0.000421882,0.000421882,0.000421882
73,573.371,1.24561,0.67381,0.82157,0.97227,0.90264,0.9765,0.65097,1.20258,1.01231,0.8245,0.000413568,0.000413568,0.000413568
74,582.32,1.34509,0.72875,0.83002,0.97227,0.90264,0.9765,0.65097,1.20258,1.01231,0.8245,0.000404858,0.000404858,0.000404858
75,589.36,1.1215,0.67864,0.83679,0.97382,0.9065,0.97785,0.65533,1.19279,0.98745,0.824,0.000395752,0.000395752,0.000395752
76,599.305,1.28134,0.692,0.82752,0.97382,0.9065,0.97785,0.65533,1.19279,0.98745,0.824,0.00038625,0.00038625,0.00038625
77,608.495,1.25792,0.76645,0.84282,0.97382,0.9065,0.97785,0.65533,1.19279,0.98745,0.824,0.000376352,0.000376352,0.000376352
78,617.207,1.25792,0.72501,0.82915,0.97978,0.91928,0.98024,0.68024,1.13085,0.93102,0.82039,0.000366058,0.000366058,0.000366058
